epoch,step,train_acc_epoch,train_acc_step,train_loss,val_acc,val_f1,val_loss
0,49,,0.875,,,,
0,99,,1.0,,,,
0,149,,1.0,,,,
0,199,,1.0,,,,
0,249,,1.0,,,,
0,299,,1.0,,,,
0,349,,1.0,,,,
0,399,,1.0,,,,
0,449,,1.0,,,,
0,499,,1.0,,,,
0,549,,1.0,,,,
0,599,,1.0,,,,
0,649,,1.0,,,,
0,699,,1.0,,,,
0,749,,1.0,,,,
0,799,,1.0,,,,
0,849,,1.0,,,,
0,899,,1.0,,,,
0,949,,1.0,,,,
0,999,,1.0,,,,
0,1049,,1.0,,,,
0,1099,,1.0,,,,
0,1149,,1.0,,,,
0,1199,,1.0,,,,
0,1249,,1.0,,,,
0,1299,,1.0,,,,
0,1349,,1.0,,,,
0,1399,,1.0,,,,
0,1449,,1.0,,,,
0,1499,,1.0,,,,
0,1549,,1.0,,,,
0,1599,,1.0,,,,
0,1649,,1.0,,,,
0,1699,,1.0,,,,
0,1749,,1.0,,,,
0,1799,,1.0,,,,
0,1849,,1.0,,,,
0,1899,,1.0,,,,
0,1949,,1.0,,,,
0,1999,,1.0,,,,
0,2049,,1.0,,,,
0,2099,,1.0,,,,
0,2149,,1.0,,,,
0,2199,,1.0,,,,
0,2249,,1.0,,,,
0,2299,,1.0,,,,
0,2349,,1.0,,,,
0,2399,,1.0,,,,
0,2449,,1.0,,,,
0,2499,,1.0,,,,
0,2549,,1.0,,,,
0,2599,,1.0,,,,
0,2649,,1.0,,,,
0,2699,,1.0,,,,
0,2749,,1.0,,,,
0,2799,,1.0,,,,
0,2849,,1.0,,,,
0,2899,,1.0,,,,
0,2949,,1.0,,,,
0,2999,,1.0,,,,
0,3049,,1.0,,,,
0,3099,,1.0,,,,
0,3149,,1.0,,,,
0,3199,,1.0,,,,
0,3249,,1.0,,,,
0,3299,,1.0,,,,
0,3349,,1.0,,,,
0,3399,,1.0,,,,
0,3449,,1.0,,,,
0,3499,,1.0,,,,
0,3549,,1.0,,,,
0,3599,,1.0,,,,
0,3649,,1.0,,,,
0,3699,,1.0,,,,
0,3749,,1.0,,,,
0,3799,,1.0,,,,
0,3849,,1.0,,,,
0,3899,,1.0,,,,
0,3949,,1.0,,,,
0,3999,,1.0,,,,
0,4049,,1.0,,,,
0,4099,,1.0,,,,
0,4149,,1.0,,,,
0,4199,,1.0,,,,
0,4249,,1.0,,,,
0,4299,,1.0,,,,
0,4349,,1.0,,,,
0,4399,,1.0,,,,
0,4449,,1.0,,,,
0,4489,,,,0.9995545744895935,0.9995545744895935,0.002885380294173956
0,4489,0.9970210194587708,,0.01106874831020832,,,
1,4499,,1.0,,,,
1,4549,,1.0,,,,
1,4599,,1.0,,,,
1,4649,,1.0,,,,
1,4699,,1.0,,,,
1,4749,,1.0,,,,
1,4799,,1.0,,,,
1,4849,,1.0,,,,
1,4899,,1.0,,,,
1,4949,,1.0,,,,
1,4999,,1.0,,,,
1,5049,,1.0,,,,
1,5099,,1.0,,,,
1,5149,,1.0,,,,
1,5199,,1.0,,,,
1,5249,,1.0,,,,
1,5299,,1.0,,,,
1,5349,,1.0,,,,
1,5399,,1.0,,,,
1,5449,,1.0,,,,
1,5499,,1.0,,,,
1,5549,,1.0,,,,
1,5599,,1.0,,,,
1,5649,,1.0,,,,
1,5699,,1.0,,,,
1,5749,,1.0,,,,
1,5799,,1.0,,,,
1,5849,,1.0,,,,
1,5899,,1.0,,,,
1,5949,,1.0,,,,
1,5999,,1.0,,,,
1,6049,,1.0,,,,
1,6099,,1.0,,,,
1,6149,,1.0,,,,
1,6199,,1.0,,,,
1,6249,,1.0,,,,
1,6299,,1.0,,,,
1,6349,,1.0,,,,
1,6399,,1.0,,,,
1,6449,,1.0,,,,
1,6499,,1.0,,,,
1,6549,,1.0,,,,
1,6599,,1.0,,,,
1,6649,,1.0,,,,
1,6699,,1.0,,,,
1,6749,,1.0,,,,
1,6799,,1.0,,,,
1,6849,,1.0,,,,
1,6899,,1.0,,,,
1,6949,,1.0,,,,
1,6999,,1.0,,,,
1,7049,,1.0,,,,
1,7099,,1.0,,,,
1,7149,,1.0,,,,
1,7199,,1.0,,,,
1,7249,,1.0,,,,
1,7299,,1.0,,,,
1,7349,,1.0,,,,
1,7399,,1.0,,,,
1,7449,,1.0,,,,
1,7499,,1.0,,,,
1,7549,,1.0,,,,
1,7599,,1.0,,,,
1,7649,,1.0,,,,
1,7699,,1.0,,,,
1,7749,,1.0,,,,
1,7799,,1.0,,,,
1,7849,,1.0,,,,
1,7899,,1.0,,,,
1,7949,,1.0,,,,
1,7999,,1.0,,,,
1,8049,,1.0,,,,
1,8099,,1.0,,,,
1,8149,,1.0,,,,
1,8199,,1.0,,,,
1,8249,,1.0,,,,
1,8299,,1.0,,,,
1,8349,,1.0,,,,
1,8399,,1.0,,,,
1,8449,,1.0,,,,
1,8499,,1.0,,,,
1,8549,,1.0,,,,
1,8599,,1.0,,,,
1,8649,,1.0,,,,
1,8699,,1.0,,,,
1,8749,,1.0,,,,
1,8799,,1.0,,,,
1,8849,,1.0,,,,
1,8899,,1.0,,,,
1,8949,,1.0,,,,
1,8979,,,,0.9996659159660339,0.9996659159660339,0.0012566044460982084
1,8979,0.9994431734085083,,0.0027010550256818533,,,
2,8999,,1.0,,,,
2,9049,,1.0,,,,
2,9099,,1.0,,,,
2,9149,,1.0,,,,
2,9199,,1.0,,,,
2,9249,,1.0,,,,
2,9299,,1.0,,,,
2,9349,,1.0,,,,
2,9399,,1.0,,,,
2,9449,,1.0,,,,
2,9499,,1.0,,,,
2,9549,,1.0,,,,
2,9599,,1.0,,,,
2,9649,,1.0,,,,
2,9699,,1.0,,,,
2,9749,,1.0,,,,
2,9799,,1.0,,,,
2,9849,,1.0,,,,
2,9899,,1.0,,,,
2,9949,,1.0,,,,
2,9999,,1.0,,,,
2,10049,,1.0,,,,
2,10099,,1.0,,,,
2,10149,,1.0,,,,
2,10199,,1.0,,,,
2,10249,,1.0,,,,
2,10299,,1.0,,,,
2,10349,,1.0,,,,
2,10399,,1.0,,,,
2,10449,,1.0,,,,
2,10499,,1.0,,,,
2,10549,,1.0,,,,
2,10599,,1.0,,,,
2,10649,,1.0,,,,
2,10699,,1.0,,,,
2,10749,,1.0,,,,
2,10799,,1.0,,,,
2,10849,,1.0,,,,
2,10899,,1.0,,,,
2,10949,,1.0,,,,
2,10999,,1.0,,,,
2,11049,,1.0,,,,
2,11099,,1.0,,,,
2,11149,,1.0,,,,
2,11199,,1.0,,,,
2,11249,,1.0,,,,
2,11299,,1.0,,,,
2,11349,,1.0,,,,
2,11399,,1.0,,,,
2,11449,,1.0,,,,
2,11499,,1.0,,,,
2,11549,,1.0,,,,
2,11599,,1.0,,,,
2,11649,,1.0,,,,
2,11699,,1.0,,,,
2,11749,,1.0,,,,
2,11799,,1.0,,,,
2,11849,,1.0,,,,
2,11899,,1.0,,,,
2,11949,,1.0,,,,
2,11999,,1.0,,,,
2,12049,,1.0,,,,
2,12099,,1.0,,,,
2,12149,,1.0,,,,
2,12199,,1.0,,,,
2,12249,,1.0,,,,
2,12299,,1.0,,,,
2,12349,,1.0,,,,
2,12399,,1.0,,,,
2,12449,,1.0,,,,
2,12499,,1.0,,,,
2,12549,,1.0,,,,
2,12599,,1.0,,,,
2,12649,,1.0,,,,
2,12699,,1.0,,,,
2,12749,,1.0,,,,
2,12799,,1.0,,,,
2,12849,,1.0,,,,
2,12899,,1.0,,,,
2,12949,,1.0,,,,
2,12999,,1.0,,,,
2,13049,,1.0,,,,
2,13099,,1.0,,,,
2,13149,,1.0,,,,
2,13199,,1.0,,,,
2,13249,,1.0,,,,
2,13299,,1.0,,,,
2,13349,,1.0,,,,
2,13399,,1.0,,,,
2,13449,,1.0,,,,
2,13469,,,,0.9995545744895935,0.9995545744895935,0.0013273496879264712
2,13469,0.9998886585235596,,0.0006762053817510605,,,
